Idea,Style,status,video_url,prompt_used
"Slow cinematic push toward an old landline phone on a worn wooden workshop bench, dust in a shaft of late afternoon light — a memory of a father's last words","cinematic, melancholy, warm, no people, 9:16",,,
"Chalk numbers glowing on a dark slate, rearranging into neat ordered rows — a dyslexic boy who found peace in numbers","hopeful, warm gold light, calm, no people, 9:16",,,
"Soft glow of an old TV in a dark lounge room, a knitted blanket and out-of-focus fairy lights — a tender Christmas Eve memory","nostalgic, film grain, deeply warm, no faces, 9:16",,,
"Two silhouettes of a father and child pressing close together against soft window light at dusk — the 'air cuddle'","intimate, gentle, faces not visible, calm, 9:16",,,
"First light breaking over a calm ocean horizon, dark water turning gold — choosing to stay, hope after darkness","slow, hopeful, cinematic, no people, 9:16",,,
"A worn dented metal cup beside a framed photo on a mantel in warm lamplight, dust motes drifting — a sacred ordinary heirloom","reverent, quiet, warm, no faces, 9:16",,,
"Early morning footy oval, dew on grass, a single ball at the centre circle, goalposts in mist, golden light — Coach Dad showing up","still, golden hour, hopeful, no people, 9:16",,,
"A single candle flame holding steady in a dark room, then glowing brighter — don't dim your light","warm, defiant, minimal, no people, 9:16",,,
"Four tiny pairs of children's shoes lined up neatly by a front door in morning light — four kids under four","homely, warm, tender, no people, 9:16",,,
"Close-up of a hand writing the same word with the left then the right hand on paper with ink — refusing to give up","determined, human, intimate macro, 9:16",,,
"A tangle of glowing threads slowly untangling into one clear line on a dark background — a late ADHD diagnosis bringing clarity","calming, blue and gold light, abstract, 9:16",,,
"A single warm light staying on in a row of dark windows at night — consistency and being dependable","steady, cinematic, quiet, no people, 9:16",,,
