package_name,app_title,short_description,full_description,category,content_rating,target_audience
com.rhythmix.dreams,DREAMS,Sleep ritual with breath pacing and soundscape,"DREAMS guides your nightly routine with a 4-7-8 breath pacer, generative AI soundscape, and morning dream recall journal. No subscriptions. No tracking. All audio generated on-device.",HEALTH_AND_FITNESS,UNRATED,People seeking better sleep quality and wellness
com.rhythmix.hum,HUM,Daily humming practice with coherence breath,"HUM teaches 5-in/5-out coherence breathing paired with 432 Hz, 528 Hz, and 7.83 Hz healing tones. Offline-first. No data leaves your phone.",HEALTH_AND_FITNESS,UNRATED,Wellness practitioners and breath-work enthusiasts
com.rhythmix.live,RHYTHMIX LIVE,AI music video generator in seconds,"Drop a track, pick visual engines, get a beat-synced AI music video rendered to MP4. One-tap exports. Powered by Replicate.",MUSIC_AND_AUDIO,UNRATED,Music creators and content producers
com.rhythmix.resonate,RESONATE,Generative music synced to your heartbeat,"RESONATE adapts a continuous drone to your heart rate and breathing via device sensors. Closed-loop biofeedback. No login required.",MUSIC_AND_AUDIO,UNRATED,Meditators and HRV-focused practitioners
com.rhythmix.roomtone,Roomtone,Real-time hearing aid EQ tuner,"Roomtone uses your phone's mic to analyse ambient sound and re-tune your hearing aids for the current room. Accessibility-first.",HEALTH_AND_FITNESS,UNRATED,Hearing aid users seeking better hearing experiences
com.rhythmix.resonance,RESONANCE,Frequency healing and cardiac coherence,"Science-tuned binaural tones (Schumann, Tesla 3-6-9), 0.1 Hz cardiac coherence breath pacing, and guided contemplation. Focus. Calm. Rest.",HEALTH_AND_FITNESS,UNRATED,Meditation practitioners and frequency-tuning enthusiasts
com.rhythmix.frequency,FREQUENCY,Binaural tones and breath pacing PWA,"Binaural tones, breath pacing, and frequency-tuned sound environments for deep work, sleep, and meditation. Offline capable.",HEALTH_AND_FITNESS,UNRATED,Workers seeking focus and sleep quality
com.rhythmix.codex,Codex of Reality,Live HRV coherence and Tesla biofeedback,"The biofeedback platform for mystics. Live HRV coherence meter, Tesla 3-6-9 frequencies, Schumann resonance lock, and mystical vibe.",HEALTH_AND_FITNESS,UNRATED,Spirituality-focused practitioners and biohackers
com.rhythmix.reset,Reset,Recovery tracking for team sport athletes,"Daily recovery tracking: HRV readiness, sleep score, training load, and recovery window. Built for rugby, soccer, and contact sports teams.",SPORTS,UNRATED,Team sport athletes and coaches
com.rhythmix.herdcheck,HerdCheck,Dairy farm screening and animal health,"Phone-camera screening for lameness (Sprecher scale), mastitis signs, and imminent calving. Built for smallholder farmers in Africa and South Asia.",HEALTH_AND_FITNESS,UNRATED,Smallholder farmers and veterinary practitioners
com.rhythmix.focus,FOCUS,Adaptive Pomodoro with body doubling,"Adaptive Pomodoro timer with body doubling voice, brown noise, binaural 40Hz gamma waves, and real-time focus analytics. $4.99/month subscription.",PRODUCTIVITY,UNRATED,Students and knowledge workers with ADHD or focus challenges
com.rhythmix.drift,DRIFT,AI sleep debt calculator and bedtime coach,"Sleep debt calculator, adaptive bedtime AI coach, sleep score algorithm, and wind-down ambient timer. Improves sleep quality. $5.99/month.",HEALTH_AND_FITNESS,UNRATED,People seeking better sleep and recovery
com.rhythmix.pulse,PULSE,Habit tracker with GitHub-style heatmaps,"Daily habit tracker with smart nudges, GitHub-style heatmap, particle celebrations, and deep analytics. $3.99/month subscription.",HEALTH_AND_FITNESS,UNRATED,Habit builders and wellness-focused individuals
