book_number,title,series,epub_file,cover_file,price_usd
1,"Sunny and the Flying Fox","Sonny's Cozy Quokka Bedtime Tales #1","book1/redesign/sunny-and-the-flying-fox.epub","kdp-covers/book01-kdp-cover.jpg",2.99
2,"Sunny and the Sleepy Wombat","Sonny's Cozy Quokka Bedtime Tales #2","book2/redesign/sunny-and-the-sleepy-wombat.epub","kdp-covers/book02-kdp-cover.jpg",2.99
3,"Sunny and the Tawny Frogmouth","Sonny's Cozy Quokka Bedtime Tales #3","book3/redesign/sunny-and-the-tawny-frogmouth.epub","kdp-covers/book03-kdp-cover.jpg",2.99
4,"Sunny and the Sugar Glider","Sonny's Cozy Quokka Bedtime Tales #4","book4/redesign/sunny-and-the-sugar-glider.epub","kdp-covers/book04-kdp-cover.jpg",2.99
5,"Sunny and the Little Bilby","Sonny's Cozy Quokka Bedtime Tales #5","book5/redesign/sunny-and-the-little-bilby.epub","kdp-covers/book05-kdp-cover.jpg",2.99
6,"Sunny and the Kookaburra","Sonny's Cozy Quokka Bedtime Tales #6","book6/redesign/sunny-and-the-kookaburra.epub","kdp-covers/book06-kdp-cover.jpg",2.99
7,"Sunny and the Platypus","Sonny's Cozy Quokka Bedtime Tales #7","book7/redesign/sunny-and-the-platypus.epub","kdp-covers/book07-kdp-cover.jpg",2.99
8,"Sunny and the Sleepy Echidna","Sonny's Cozy Quokka Bedtime Tales #8","book8/redesign/sunny-and-the-sleepy-echidna.epub","kdp-covers/book08-kdp-cover.jpg",2.99
9,"Sunny and the Ringtail Possum","Sonny's Cozy Quokka Bedtime Tales #9","book9/redesign/sunny-and-the-ringtail-possum.epub","kdp-covers/book09-kdp-cover.jpg",2.99
10,"Sunny and the Little Penguin","Sonny's Cozy Quokka Bedtime Tales #10","book10/redesign/sunny-and-the-little-penguin.epub","kdp-covers/book10-kdp-cover.jpg",2.99
11,"Sunny and the Sleepy Koala","Sonny's Cozy Quokka Bedtime Tales #11","book11/redesign/sunny-and-the-sleepy-koala.epub","kdp-covers/book11-kdp-cover.jpg",2.99
12,"Sunny and the Boobook Owl","Sonny's Cozy Quokka Bedtime Tales #12","book12/redesign/sunny-and-the-boobook-owl.epub","kdp-covers/book12-kdp-cover.jpg",2.99
13,"Sunny and the Green Tree Frog","Sonny's Cozy Quokka Bedtime Tales #13","book13/redesign/sunny-and-the-green-tree-frog.epub","kdp-covers/book13-kdp-cover.jpg",2.99
14,"Sunny and the Pademelon","Sonny's Cozy Quokka Bedtime Tales #14","book14/redesign/sunny-and-the-pademelon.epub","kdp-covers/book14-kdp-cover.jpg",2.99
