package_name,app_name,tagline,category,color,emoji,slug
com.rhythmix.heartbeat,Heartbeat,Your AI friend who listens,Emotional AI,#FF6B9D,❤️,heartbeat
com.rhythmix.mood-journal,Mood Journal,Track your emotional wellbeing,Emotional AI,#FF6B9D,📔,mood-journal
com.rhythmix.meditation-guide,Meditation Guide,Guided peace and mindfulness,Emotional AI,#FF6B9D,🧘,meditation-guide
com.rhythmix.dreams,Dreams,Understand your dream meanings,Health,#3B82F6,💭,dreams
com.rhythmix.medicine-companion,Medicine Companion,Track your medications safely,Health,#3B82F6,💊,medicine-companion
com.rhythmix.blood-pressure-buddy,Blood Pressure Buddy,Monitor your blood pressure,Health,#3B82F6,🩺,blood-pressure-buddy
com.rhythmix.calorie-counter,Calorie Counter,Track calories easily,Health,#3B82F6,🍎,calorie-counter
com.rhythmix.weight-tracker,Weight Tracker,Monitor your weight progress,Health,#3B82F6,⚖️,weight-tracker
com.rhythmix.vendor-tracker,Vendor Tracker,Manage vendor inventory,Financial,#10B981,🏪,vendor-tracker
com.rhythmix.expense-tracker,Expense Tracker,Track every expense,Financial,#10B981,💰,expense-tracker
com.rhythmix.savings-challenge,Savings Challenge,Save money with fun challenges,Financial,#10B981,🎯,savings-challenge
com.rhythmix.loan-calculator,Loan Calculator,Calculate loans instantly,Financial,#10B981,📊,loan-calculator
com.rhythmix.goal-tracker,Goal Tracker,Achieve your goals,Financial,#10B981,🚀,goal-tracker
com.rhythmix.budget-tracker,Budget Tracker,Control your budget,Financial,#10B981,📈,budget-tracker
com.rhythmix.english-pocket,English Pocket,Learn English on the go,Education,#8B5CF6,📚,english-pocket
com.rhythmix.math-helper,Math Helper,Master math problems,Education,#8B5CF6,🔢,math-helper
com.rhythmix.study-planner,Study Planner,Plan your study sessions,Education,#8B5CF6,🎓,study-planner
com.rhythmix.trivia-quiz,Trivia Quiz,Test your knowledge,Education,#8B5CF6,🧠,trivia-quiz
com.rhythmix.notes,Notes,Quick and simple notes,Productivity,#06B6D4,📝,notes
com.rhythmix.tasklist,Tasklist,Organize your tasks,Productivity,#06B6D4,✅,tasklist
com.rhythmix.reminders,Reminders,Never forget anything,Productivity,#06B6D4,🔔,reminders
com.rhythmix.daily-planner,Daily Planner,Plan your day perfectly,Productivity,#06B6D4,📅,daily-planner
com.rhythmix.pomodoro-timer,Pomodoro Timer,Focus with pomodoro technique,Productivity,#06B6D4,⏱️,pomodoro-timer
com.rhythmix.workout-timer,Workout Timer,Perfect workouts every time,Productivity,#06B6D4,💪,workout-timer
com.rhythmix.period-tracker,Period Tracker,Track your cycle precisely,Productivity,#06B6D4,📍,period-tracker
com.rhythmix.quick-recipes,Quick Recipes,Quick and easy recipes,Lifestyle,#F97316,🍳,quick-recipes
com.rhythmix.voice-notes,Voice Notes,Record voice memos,Lifestyle,#F97316,🎤,voice-notes
com.rhythmix.habit-streak,Habit Streak,Build daily habits,Lifestyle,#F97316,🔥,habit-streak
com.rhythmix.lifeaudit,Lifeaudit,Audit your entire life,Tools,#EF4444,🔍,lifeaudit
com.rhythmix.water-tracker,Water Tracker,Track your water intake,Tools,#EF4444,💧,water-tracker
