slug,name,description,category,app_type,estimated_status,recommended_price_usd,gumroad_created,notes
buddy-8,Motivation Expert,Daily Cheerleader AI Buddy - Daily motivation affirmations and personalized encouragement for goal achievement.,Motivation,Buddy,functional,2.99,false,High engagement buddy pattern
buddy-16,Accountability Buddy,AI accountability partner that checks in daily on your goals and celebrates wins.,Motivation,Buddy,functional,2.99,false,Goal tracking focus
buddy-35,Confidence Booster,AI coach that builds your confidence through daily affirmations and success visualization.,Motivation,Buddy,functional,2.99,false,Affirmation-focused
buddy-37,Energy Optimizer,Track and optimize your daily energy levels with AI insights and personalized recommendations.,Wellness,Buddy,functional,2.99,false,Biohacking focus
buddy-verifier,Fact Checker Buddy,AI-powered fact checking and misinformation detection for news and social media.,Productivity,Buddy,functional,3.99,false,Professional tools variant
meditation-buddy,Meditation Buddy,AI-guided meditation breathing exercises and mindfulness coaching personalized to your stress levels.,Wellness,Buddy,functional,2.99,false,High satisfaction potential
habit-buddy,Habit Builder Buddy,Track habits build streaks and get daily AI encouragement to stay consistent.,Productivity,Buddy,functional,2.99,false,Habit tracking leader
math-helper,Math Helper AI,Step-by-step math tutoring with AI explanations for algebra geometry calculus and more.,Learning,Education,functional,3.99,false,Popular category
english-pocket,English Pocket,English grammar tutor vocabulary builder and writing feedback from AI.,Learning,Education,functional,2.99,false,Strong demand
language-lens,Language Lens,AI language translator with pronunciation guide and cultural context for 50+ languages.,Learning,Education,functional,4.99,false,Premium pricing potential
period-tracker,Period Tracker Pro,AI-powered period tracking with predictions mood logging and health insights.,Health,Wellness,functional,1.99,false,Niche high-value segment
weight-tracker,Weight Tracker,Track weight trends log meals and get AI coaching for sustainable weight management.,Health,Wellness,functional,2.99,false,Competitive market
calorie-counter,Calorie Counter AI,Smart food logging with AI nutrition analysis and personalized meal suggestions.,Health,Wellness,functional,3.99,false,Premium health focus
water-tracker,Hydration Tracker,Track daily water intake with smart reminders and hydration health insights.,Health,Wellness,functional,0.99,false,Low-friction entry
meditation-guide,Meditation Guide,Guided meditations with AI voice personalization and progress tracking.,Wellness,Wellness,functional,2.99,false,Growing wellness market
mood-journal,Mood Journal AI,Daily mood tracking journal with AI sentiment analysis and emotional pattern insights.,Wellness,Wellness,functional,1.99,false,Mental health trend
daily-planner,Daily Planner,AI-powered task planner with smart scheduling and productivity insights.,Productivity,Productivity,functional,2.99,false,Productivity category strong
goal-tracker,Goal Tracker Pro,Set track and achieve goals with AI coaching and milestone celebrations.,Productivity,Productivity,functional,2.99,false,Complements daily-planner
pomodoro-timer,Pomodoro Focus Timer,Pomodoro timer with AI productivity coaching and break recommendations.,Productivity,Productivity,functional,0.99,false,Low-price impulse buy
fitness-coach,Fitness Coach AI,Personalized workout plans with form feedback and progress tracking.,Fitness,Wellness,functional,3.99,false,Premium fitness segment
voice-journal,Voice Journal,AI-transcribed voice journaling with sentiment tracking and pattern recognition.,Wellness,Wellness,unknown,1.99,false,Voice input trend
study-planner,Study Planner,AI study schedule optimizer with spaced repetition and exam prep guidance.,Learning,Education,unknown,2.99,false,Student market
tasklist,Task List Pro,Collaborative AI task lists with priority suggestions and deadline tracking.,Productivity,Productivity,unknown,2.99,false,Team features optional
notes,Notes,Markdown-enabled note-taking with AI organization and smart linking.,Productivity,Productivity,unknown,1.99,false,Basic tool
reminders,Reminders,AI-powered reminders with context-aware timing and smart recurring schedules.,Productivity,Productivity,unknown,0.99,false,Utility tool
bookreader-pro,Book Reader Pro,AI-enhanced ebook reader with reading progress tracking and book recommendations.,Learning,Education,unknown,2.99,false,Content consumption trend
medicine-companion,Medicine Companion,Track medications schedule and get AI reminders with interaction warnings.,Health,Wellness,functional,1.99,false,Healthcare adherence
budget-tracker,Budget Tracker,Personal budget tracking with AI insights on spending patterns and savings goals.,Finance,Finance,unknown,2.99,false,Financial wellness
expense-tracker,Expense Tracker,Quick expense logging with AI categorization and spending insights.,Finance,Finance,unknown,1.99,false,Simple finance
savings-challenge,Savings Challenge,AI-motivated savings challenges with milestone rewards and progress tracking.,Finance,Finance,unknown,2.99,false,Gamified saving
