post,date,platform,format,hook,bucket,permalink,impressions,engagement_rate,saves,clicks,notes
01,2026-05-10,tiktok,short-video,"Sam made $7,200 from one Apple TV sync",audience-win,,,,,,
02,2026-05-11,instagram,carousel,"14 features. One subscription. Zero label.",product-proof,,,,,,
03,2026-05-12,threads,single-text,"Most AI music sounds like a microwave",bold-opinion,,,,,,
04,2026-05-13,tiktok,short-video,"$149 once. Forever access. 80 spots left",product-proof,,,,,,
05,2026-05-14,instagram,single-image,"Maya raised $14,800 from 148 fans",audience-win,,,,,,
06,2026-05-15,youtube-shorts,short-video,"Stem-split a 2010 demo in 30 seconds",product-proof,,,,,,
07,2026-05-16,tiktok,reply-video,"Replying to: 'AI music has no soul'",bold-opinion,,,,,,
08,2026-05-17,threads,single-image,"Three months ago Nova had never performed live",audience-win,,,,,,
09,2026-05-18,instagram,carousel,"Suno vs Udio vs LANDR vs RHYTHMIX",comparison,,,,,,
10,2026-05-19,tiktok,short-video,"How Dev quit his job in 6 months",audience-win,,,,,,
11,2026-05-20,x,single-text,"Spotify pays $0.003 per stream. Sync pays $7,200",bold-opinion,,,,,,
12,2026-05-21,tiktok,short-video,"Type a 3-line description, get a cinematic score",product-proof,,,,,,
13,2026-05-22,instagram,single-image,"$0 forever. Or $149 once. That's it.",product-proof,,,,,,
14,2026-05-23,threads,single-text,"We don't take royalties. Your music stays yours.",bold-opinion,,,,,,
15,2026-05-24,tiktok,short-video,"Jordan rebuilt an old demo with stem split",audience-win,,,,,,
16,2026-05-25,instagram,carousel,"Six tools you can stop paying for",comparison,,,,,,
17,2026-05-26,youtube-shorts,short-video,"From prompt to Spotify in under an hour",product-proof,,,,,,
18,2026-05-27,tiktok,short-video,"Alex got 31,000 streams. He's never had a music lesson.",audience-win,,,,,,
19,2026-05-28,threads,single-image,"$2.4K average sync placement. We auto-match the brief.",product-proof,,,,,,
20,2026-05-29,instagram,single-image,"60 spots left at $149 lifetime",product-proof,,,,,,
21,2026-05-30,tiktok,short-video,"What ONE subscription replaces",comparison,,,,,,
