Episode #,Queue File,Story Title,KDP Title,Subtitle,Categories (Primary),Categories (Secondary),Keywords,Price (USD),Royalty %,Status
1,kids-channel/scripts/sunny-and-the-still-pond.json,Sunny And The Still Pond,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Still Pond,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
2,kids-channel/scripts/sunny-meets-the-platypus.json,Sunny Meets The Platypus,Sonny's Cozy Quokka Bedtime Tales: Sunny Meets The Platypus,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
3,kids-channel/scripts/sunny-and-the-gentle-stream.json,Sunny And The Gentle Stream,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Gentle Stream,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
4,kids-channel/scripts/sunny-and-the-wallaby-joey.json,Sunny And The Wallaby Joey,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Wallaby Joey,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
5,kids-channel/scripts/sunny-and-the-gentle-breeze.json,Sunny And The Gentle Breeze,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Gentle Breeze,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
6,kids-channel/scripts/sunny-and-the-sugar-glider.json,Sunny And The Sugar Glider,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Sugar Glider,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
7,kids-channel/scripts/sunny-and-the-shooting-star.json,Sunny And The Shooting Star,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Shooting Star,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
8,kids-channel/scripts/sunny-and-the-tawny-frogmouth.json,Sunny And The Tawny Frogmouth,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Tawny Frogmouth,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
9,kids-channel/scripts/sunny-and-the-tiny-bilby.json,Sunny And The Tiny Bilby,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Tiny Bilby,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
10,kids-channel/scripts/sunny-and-the-morning-mist.json,Sunny And The Morning Mist,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Morning Mist,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
11,kids-channel/scripts/ep01-sunny-watches-the-stars.json,Sunny Watches The Stars,Sonny's Cozy Quokka Bedtime Tales: Sunny Watches The Stars,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
12,kids-channel/scripts/sunny-and-the-water-reeds.json,Sunny And The Water Reeds,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Water Reeds,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
13,kids-channel/scripts/sunny-and-the-little-turtle.json,Sunny And The Little Turtle,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Little Turtle,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
14,kids-channel/scripts/sunny-and-the-misty-creek.json,Sunny And The Misty Creek,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Misty Creek,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
15,kids-channel/scripts/sunny-and-the-lily-pads.json,Sunny And The Lily Pads,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Lily Pads,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
16,kids-channel/scripts/sunny-and-the-dragonfly.json,Sunny And The Dragonfly,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Dragonfly,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
17,kids-channel/scripts/sunny-and-the-cloud-shapes.json,Sunny And The Cloud Shapes,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Cloud Shapes,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
18,kids-channel/scripts/sunny-and-the-flying-fox.json,Sunny And The Flying Fox,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Flying Fox,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
19,kids-channel/scripts/sunny-and-the-big-wind.json,Sunny And The Big Wind,Sonny's Cozy Quokka Bedtime Tales: Sunny And The Big Wind,A Calm Bedtime Story for Toddlers,Children's eBooks > Bedtime & Dreams,Children's eBooks > Animals > Mammals,children's picture book; bedtime stories; toddler books; australian animals; quokka; calm stories,4.99,70%,Not uploaded
